city,date_create,timestamp,rank,advertised,hotel_name,hotel_source,ad_headline,ad_source,price,rating_stars,rating_reviews,total_hotels,alt1,alt2,alt3,alt4,alt_rest
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),1,true,,,Dubai Hotel Express Deals℠ No Bidding,Priceline.com,$73,,,777,,,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),2,false,Middle East Hotel,Agoda,,,$62,2,Okay,777,Booking.com,Priceline,Priceline,Agoda,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),3,false,Imperial Suites Hotel,LateRooms.com,,,$75,3,Okay,777,Booking.com,Priceline,Hotelclub,Booking.com,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),4,false,Metropolitan Deira Hotel,LateRooms.com,,,$78,4,Good,777,MetropolitanDeiraHotel,Priceline,Agoda,Travelocity,5 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),5,false,Ramee Guestline Deira,Agoda,,,$88,2,Okay,777,LateRooms.com,Booking.com,Priceline,Easyclicktravel,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),6,false,Savoy Suites Hotel Apartments,SavoySuites Hotel Apartments,,,$116,4,Excellent,777,Booking.com,Priceline,Agoda,Travelocity,5 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),7,true,,,Un-Booking-Believable Hotel Deals in Dubai,Booking.com,$45,,,777,,,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),8,false,Melia Dubai,Agoda,,,$122,5,Excellent,777,Booking.com,Priceline,Travelocity,Expedia,5 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),9,false,Pearl Residence Hotel Apartments,Easyclicktravel,,,$135,3,Good,777,Travelocity,Hotels.com,Expedia,Booking.com,2 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),10,false,Park Regis Kris Kin Hotel Dubai,ParkRegis Kris Kin Hotel Dubai,,,$150,4,Excellent,777,Booking.com,Priceline,Agoda,Travelocity,4 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),11,false,Premier Inn Dubai International Airport,Cheaptickets,,,$203,3,Excellent,777,Orbitz,Hotelclub,Booking.com,Priceline,2 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),12,false,Nassima Tower Hotel Apartments,Agoda,,,$245,4,Good,777,NassimaTowerHotelApartments,Travelocity,Expedia,Booking.com,4 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),13,false,Jumeirah Emirates Towers,Easyclicktravel,,,$291,5,Excellent,777,Booking.com,Priceline,Agoda,Travelocity,4 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),14,true,,,One&Only Luxury Resorts - Visit the official site,oneandonlyresorts.com,Check Rates,,,777,,,,,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),15,false,Orchid Hotel,Agoda,,,$67,3,Okay,777,Booking.com,Priceline,Travelocity,Expedia,4 more sites 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),16,false,Al Raya Hotel Apartments,Easyclicktravel,,,$150,3,Good,777,Getaroom,Agoda,Booking.com,Priceline,
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),17,false,Al Hayat Hotel Apartments,Expedia,,,$68,4,Okay,777,Travelocity,Agoda,Priceline,Hotelclub,1 more site 
Dubai United-Arab-Emirates-,2014-4-14,Mon Apr 14 2014 10:56:22 GMT-0400 (EDT),18,false,Millennium Plaza Hotel Dubai,Getaroom,,,$167,5,Good,777,Agoda,Travelocity,Expedia,Booking.com,4 more sites 
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),1,true,,,Paris Hotel Express Deals℠ No Bidding,Priceline.com,Check Rates,,,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),2,false,Eurostars Panorama,Eurostarshotels,,,$221,3,Good,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),3,false,Ramada Paris Tour Eiffel,Ramada,,,$264,4,Good,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),4,false,Holiday Inn Paris - Montmartre,HolidayInn,,,$272,3,Good,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),5,false,Concorde Montparnasse,Concorde-hotels,,,$343,4,Good,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),6,false,Hotel Baltimore Paris - Mgallery Collection,Easyclicktravel,,,$417,4,Excellent,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),7,true,,,Un-Booking-Believable Hotel Deals in Paris,Booking.com,Check Rates,,,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),8,false,Hotel Du Collectionneur Arc de Triomphe,Preferredhotelgroup,,,$471,5,Excellent,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),9,false,L\' Hotel de Sers,Worldhotels,,,$624,5,Excellent,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),10,false,Paris Marriott Hotel Champs-Elysees,Marriott,,,$665,5,Good,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),11,false,Prince de Galles  a Luxury Collection Hotel  Paris,Luxurycollection,,,$805,4,Excellent,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),12,false,Raffles Royal Monceau,Cheaptickets,,,$999,5,Excellent,191,Orbitz,Lhw,Cheaptickets,Lhw,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),13,false,Hipotel Printania,Cheaptickets,,,$115,2,Okay,191,Orbitz,Orbitz,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),14,true,,,Best Boutique Hotel in Paris,splendia.com,Check Rates,,,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),15,false,Hotel Legend Saint Germain,Preferredhotelgroup,,,$207,3,Excellent,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),16,false,Adagio City Aparthotel Paris XV,Easyclicktravel,,,$236,3,Good,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),17,false,Radisson Blu Hotel Champs Elysées  Paris,Radissonblu,,,$487,4,Good,191,,,,,
Paris France-,2014-4-14,Mon Apr 14 2014 10:56:31 GMT-0400 (EDT),18,false,Hyatt Paris Madeleine,Hyatt,,,$514,5,Excellent,191,,,,,
Beijing BJ China-,2014-4-14,Mon Apr 14 2014 10:56:44 GMT-0400 (EDT),1,true,,,Save up to 60% on Beijing Hotels,Hotwire.com,Check Rates,,,2034,,,,,
Beijing BJ China-,2014-4-14,Mon Apr 14 2014 10:56:44 GMT-0400 (EDT),2,false,Long Mai Hot Spring,Ctrip,,,$31,3,,2034,,,,,
Beijing BJ China-,2014-4-14,Mon Apr 14 2014 10:56:44 GMT-0400 (EDT),3,false,Fujian Hotel,Booking.com,,,$84,4,Excellent,2034,Priceline,Easyclicktravel,Getaroom,Booking.com,
Beijing BJ China-,2014-4-14,Mon Apr 14 2014 10:56:44 GMT-0400 (EDT),4,false,Kingrand Hotel,Booking.com,,,$113,4,Excellent,2034,Expedia,Hotels.com,Travelocity,Expedia,
Beijing BJ China-,2014-4-14,Mon Apr 14 2014 10:56:44 GMT-0400 (EDT),5,false,Metropark Lido Hotel,MetroparkLido Hotel,,,$113,4,Good,2034,Travelocity,Expedia,Hotels.com,Booking.com,2 more sites 
