city,date_create,timestamp,rank,advertised,hotel_name,hotel_source,ad_headline,ad_source,price,rating_stars,rating_reviews,total_hotels,alt1,alt2,alt3,alt4,alt_rest
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),1,true,,,London Hotel Express Deals℠ No Bidding,Priceline.com,$66,,,2463,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),2,false,The May Fair,KAYAK,,,$341,5,Excellent,2463,Radisson,Getaroom,Expedia,Hotels.com,13 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),3,false,Radisson Blu Edwardian Hampshire,Amoma,,,$268,5,Excellent,2463,KAYAK,Getaroom,Radissonblu-edwardian,Orbitz,11 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),4,false,London Hilton on Park Lane,Amoma,,,$368,5,Excellent,2463,KAYAK,Hotels.com,Travelocity,Venere,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),5,false,Radisson Blu Edwardian Bloomsbury Street,Amoma,,,$228,4,Excellent,2463,KAYAK,Radissonblu-edwardian,Orbitz,Cheaptickets,12 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),6,false,The Montcalm London,Expedia,,,$239,5,Excellent,2463,Travelocity,KAYAK,Booking.com,Priceline,10 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),7,true,,,Save up to 60% on London Hotels,Hotwire.com,$51,,,2463,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),8,false,Grosvenor House  A JW Marriott Hotel,Amoma,,,$343,5,Excellent,2463,Easyclicktravel,KAYAK,Getaroom,Expedia,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),9,false,The Langham London,KAYAK,,,$319,5,Excellent,2463,Getaroom,Orbitz,Cheaptickets,Agoda,10 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),10,false,The Rembrandt,Orbitz,,,$238,4,Excellent,2463,Cheaptickets,KAYAK,Travelocity,Expedia,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),11,false,Plaza on the River London,Hotels.com,,,$262,4,Excellent,2463,KAYAK,Travelocity,Expedia,Venere,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),12,false,Park Plaza Victoria London,Travelocity,,,$220,4,Excellent,2463,Expedia,Hotels.com,Venere,KAYAK,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),13,false,Hotel Russell,Travelocity,,,$143,4,Good,2463,KAYAK,Expedia,Hotels.com,Venere,5 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),14,true,,,Un-Booking-Believable Hotel Deals in London,Booking.com,$56,,,2463,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),15,false,InterContinental London Park Lane,KAYAK,,,$312,5,Excellent,2463,Getaroom,Travelocity,Hotels.com,Priceline,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),16,false,Park Lane Mews Hotel,Travelocity,,,$165,4,Good,2463,KAYAK,Expedia,Hotels.com,Venere,4 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),17,false,The Marylebone Hotel,Amoma,,,$243,4,Excellent,2463,Easyclicktravel,KAYAK,Getaroom,Orbitz,13 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 16:10:21 GMT-0400 (EDT),18,false,Park Plaza County Hall London,Orbitz,,,$224,4,Excellent,2463,Cheaptickets,Hotelclub,KAYAK,Booking.com,8 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),1,true,,,New York Hotel Express Deals℠ No Bidding,Priceline.com,$97,,,1120,,,,,
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),2,false,Park Central New York,Booking.com,,,$218,4,Good,1120,KAYAK,Travelocity,Priceline,Hotels.com,7 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),3,false,JW Marriott Essex House New York,Booking.com,,,$439,4,Excellent,1120,KAYAK,Hotels.com,Priceline,Marriott,7 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),4,false,Hudson,Travelocity,,,$161,4,Good,1120,KAYAK,Expedia,Hotels.com,Booking.com,7 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),5,false,New York Hilton Midtown,Expedia,,,$239,4,Good,1120,KAYAK,Hotels.com,Booking.com,Priceline,8 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),6,false,The Waldorf Astoria,Agoda,,,$263,4,Good,1120,KAYAK,Expedia,Hotels.com,Booking.com,10 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),7,true,,,Save up to 60% on New York Hotels,Hotwire.com,$77,,,1120,,,,,
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),8,false,Millennium Broadway Hotel - Times Square,Travelocity,,,$152,4,Good,1120,KAYAK,Hotels.com,Venere,Expedia,6 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),9,false,New Yorker Hotel,Easyclicktravel,,,$242,4,Good,1120,KAYAK,Expedia,Booking.com,Hotels.com,9 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),10,false,New York Marriott Marquis,Expedia,,,$339,4,Excellent,1120,KAYAK,Hotels.com,Booking.com,Priceline,7 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),11,false,The Iroquois New York,Booking.com,,,$195,4,Excellent,1120,KAYAK,Priceline,Travelocity,Orbitz,8 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),12,false,The Lexington New York City  Autograph Collection,Priceline,,,$214,4,Good,1120,KAYAK,Booking.com,Marriott,Travelocity,8 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),13,false,The Time,Orbitz,,,$143,4,Good,1120,Cheaptickets,Hotelclub,KAYAK,Booking.com,4 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),14,true,,,Un-Booking-Believable Hotel Deals in New York,Booking.com,$119,,,1120,,,,,
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),15,false,ONE UN New York Hotel,KAYAK,,,$199,4,Good,1120,Getaroom,Priceline,Orbitz,Cheaptickets,
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),16,false,Affinia Shelburne,Hotels.com,,,$209,4,Excellent,1120,KAYAK,Booking.com,Priceline,Expedia,6 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),17,false,Avalon Hotel,Amoma,,,$248,4,Excellent,1120,KAYAK,Booking.com,Travelocity,Priceline,8 more sites 
New-York-City NY-,2014-4-11,Fri Apr 11 2014 16:10:34 GMT-0400 (EDT),18,false,DoubleTree by Hilton Metropolitan - New York City,Travelocity,,,$169,4,Good,1120,KAYAK,Hotels.com,Booking.com,Priceline,9 more sites 
Shanghai SH China-,2014-4-11,Fri Apr 11 2014 16:10:52 GMT-0400 (EDT),1,true,,,Save up to 60% on Shanghai Hotels,Hotwire.com,$37,,,1730,,,,,
Shanghai SH China-,2014-4-11,Fri Apr 11 2014 16:10:52 GMT-0400 (EDT),2,false,Oriental Riverside Hotel,Expedia,,,$146,4,Excellent,1730,Hotels.com,Travelocity,Venere,KAYAK,3 more sites 
Shanghai SH China-,2014-4-11,Fri Apr 11 2014 16:10:52 GMT-0400 (EDT),3,false,Radisson Blu Hotel Shanghai New World,Ctrip,,,$87,4,Excellent,1730,KAYAK,Expedia,Hotels.com,Travelocity,10 more sites 
Shanghai SH China-,2014-4-11,Fri Apr 11 2014 16:10:52 GMT-0400 (EDT),4,false,The Yangtze Boutique Shanghai,Hotels.com,,,$139,5,Excellent,1730,KAYAK,Expedia,Travelocity,Getaroom,11 more sites 
Shanghai SH China-,2014-4-11,Fri Apr 11 2014 16:10:52 GMT-0400 (EDT),5,false,The Peninsula Shanghai,Ctrip,,,$290,5,Excellent,1730,Amoma,KAYAK,Travelocity,Expedia,10 more sites 
Shanghai SH China-,2014-4-11,Fri Apr 11 2014 16:10:52 GMT-0400 (EDT),6,false,City Hotel Shanghai,Travelocity,,,$67,4,Good,1730,Expedia,Hotels.com,Venere,KAYAK,11 more sites 
Shanghai SH China-,2014-4-11,Fri Apr 11 2014 16:10:52 GMT-0400 (EDT),7,true,,,Un-Booking-Believable Hotel Deals in Shanghai,Booking.com,$14,,,1730,,,,,
