city,date_create,timestamp,rank,advertised,hotel_name,hotel_source,ad_headline,ad_source,price,rating_stars,rating_reviews,total_hotels,alt1,alt2,alt3,alt4,alt_rest
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),1,true,,,London Hotel Express Deals℠ No Bidding,Priceline.com,$66,,,2463,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),2,false,The May Fair,KAYAK,,,$341,5,Excellent,2463,Radisson,Getaroom,Hotels.com,Travelocity,13 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),3,false,London Hilton on Park Lane,Amoma,,,$368,5,Excellent,2463,KAYAK,Hotels.com,Travelocity,Venere,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),4,false,Radisson Blu Edwardian Hampshire,Amoma,,,$268,5,Excellent,2463,KAYAK,Getaroom,Radissonblu-edwardian,Orbitz,11 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),5,false,Radisson Blu Edwardian Bloomsbury Street,Amoma,,,$228,4,Excellent,2463,KAYAK,Radissonblu-edwardian,Orbitz,Cheaptickets,12 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),6,false,Grosvenor House  A JW Marriott Hotel,Amoma,,,$343,5,Excellent,2463,Easyclicktravel,KAYAK,Getaroom,Hotels.com,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),7,true,,,Save up to 60% on London Hotels,Hotwire.com,$51,,,2463,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),8,false,The Montcalm London,Travelocity,,,$239,5,Excellent,2463,Expedia,Agoda,KAYAK,Booking.com,10 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),9,false,The Langham London,KAYAK,,,$319,5,Excellent,2463,Getaroom,Orbitz,Cheaptickets,Agoda,10 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),10,false,The Rembrandt,Orbitz,,,$238,4,Excellent,2463,Cheaptickets,KAYAK,Travelocity,Hotels.com,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),11,false,Plaza on the River London,Hotels.com,,,$262,4,Excellent,2463,KAYAK,Travelocity,Venere,Expedia,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),12,false,Park Plaza Victoria London,Travelocity,,,$220,4,Excellent,2463,Hotels.com,Venere,Expedia,KAYAK,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 17:41:04 GMT-0400 (EDT),13,false,Hotel Russell,Travelocity,,,$143,4,Good,2463,KAYAK,Hotels.com,Venere,Expedia,5 more sites 
